Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000048540,LMO3,Gene Expression,0.19740733581485725,0.0,0.0,83,0.20999010042326427,47
ENSG00000112769,LAMA4,Gene Expression,0.1973573853928439,0.0,0.0,317,1.000019672972194,104
ENSG00000163466,ARPC2,Gene Expression,0.19721059577633507,0.0,0.0,702,1.9887808055910317,156
ENSG00000205542,TMSB4X,Gene Expression,0.1970402743571692,0.0,0.0,1677,3.755769533416197,197
ENSG00000205277,MUC12,Gene Expression,0.19697307568945596,0.0,0.0,122,0.1676070741528985,32
ENSG00000099834,CDHR5,Gene Expression,0.19682189763984528,0.0,0.0,265,0.5944258012934607,67
ENSG00000184357,HIST1H1B,Gene Expression,0.19675738365642584,0.0,0.0,74,0.19138791277941306,31
ENSG00000095203,EPB41L4B,Gene Expression,0.19666370664942162,0.0,0.0,217,0.44513068820923224,67
ENSG00000154096,THY1,Gene Expression,0.19645505967598562,0.0,0.0,49,0.10348372166580029,28
ENSG00000100979,PLTP,Gene Expression,0.1957321181923089,0.0,0.0,78,0.1837366828305853,50
ENSG00000179914,ITLN1,Gene Expression,0.1954207515621338,0.0,0.0,66,0.22481022136382767,29
ENSG00000187498,COL4A1,Gene Expression,0.1954068267398011,0.0,0.0,165,0.46379609017362955,71
ENSG00000111802,TDP2,Gene Expression,0.19538460066456712,0.0,0.0,181,0.2886420881021016,56
ENSG00000124920,MYRF,Gene Expression,0.1944741548679409,0.0,0.0,126,0.3902513114008795,66
ENSG00000148357,HMCN2,Gene Expression,0.1940015811113934,0.0,0.0,125,0.3574095460494733,60
ENSG00000106772,PRUNE2,Gene Expression,0.1933831275928931,0.0,0.0,73,0.18571645623143715,41
ENSG00000152583,SPARCL1,Gene Expression,0.19323539976714055,0.0,0.0,116,0.30065572183533473,59
ENSG00000162522,KIAA1522,Gene Expression,0.19269004026286024,0.0,0.0,162,0.26993263758552244,56
ENSG00000151468,CCDC3,Gene Expression,0.1922937007120892,0.0,0.0,78,0.20042685012262149,47
ENSG00000071967,CYBRD1,Gene Expression,0.19158257534763365,0.0,0.0,48,0.10447375970944987,29
ENSG00000161013,MGAT4B,Gene Expression,0.18998971995825578,0.0,0.0,287,0.6421262469595236,87
ENSG00000211675,IGLC1,Gene Expression,0.18996096394674514,0.0,0.0,150,0.4113709140726484,51
ENSG00000213585,VDAC1,Gene Expression,0.189672892383791,0.0,0.0,490,1.2633065028132644,134
ENSG00000104936,DMPK,Gene Expression,0.18954250098348036,0.0,0.0,146,0.3638479356024419,69
ENSG00000130066,SAT1,Gene Expression,0.1894369227686289,0.0,0.0,355,0.9459786237048089,96
ENSG00000131370,SH3BP5,Gene Expression,0.18840453319550965,0.0,0.0,91,0.2152456977601435,49
ENSG00000181541,MAB21L2,Gene Expression,0.1882807014339543,0.0,0.0,94,0.24996762934080305,45
